,event_id,price,x,y
0,1,38.06,-10,-10
1,1,40.01,-10,-10
2,1,43.03,-10,-10
3,1,42.17,-10,-10
4,1,33.23,-10,-10
5,1,37.33,-10,-10
6,1,33.98,-10,-10
7,1,44.5,-10,-10
8,1,31.71,-10,-10
9,1,46.86,-10,-10
10,1,39.48,-10,-10
11,1,37.6,-10,-10
12,1,39.36,-10,-10
13,1,35.8,-10,-10
14,1,46.28,-10,-10
15,1,44.12,-10,-10
16,1,38.85,-10,-10
17,1,45.53,-10,-10
18,1,36.07,-10,-10
19,1,41.93,-10,-10
20,1,46.3,-10,-10
21,1,46.43,-10,-10
22,1,47.48,-10,-10
23,1,43.79,-10,-10
24,1,30.91,-10,-10
25,1,48.09,-10,-10
26,1,46.21,-10,-10
27,1,35.88,-10,-10
28,1,31.62,-10,-10
29,1,48.12,-10,-10
30,1,39.47,-10,-10
31,1,40.34,-10,-10
32,1,36.43,-10,-10
33,1,41.51,-10,-10
34,1,48.47,-10,-10
35,1,29.61,-10,-10
36,1,32.43,-10,-10
37,1,33.06,-10,-10
38,1,38.04,-10,-10
39,1,31.36,-10,-10
40,1,48.13,-10,-10
41,1,36.55,-10,-10
42,1,41.63,-10,-10
43,1,40.09,-10,-10
44,1,47.41,-10,-10
45,1,37.62,-10,-10
46,1,44.81,-10,-10
47,1,41.06,-10,-10
48,1,39.81,-10,-10
49,1,40.48,-10,-10
50,1,39.21,-10,-10
51,1,34.72,-10,-10
52,1,45.9,-10,-10
53,1,36.7,-10,-10
54,1,35.44,-10,-10
55,1,37.29,-10,-10
56,1,40.2,-10,-10
57,1,41.16,-10,-10
58,1,41.33,-10,-10
59,1,40.68,-10,-10
60,1,40.99,-10,-10
61,1,46.82,-10,-10
62,1,39.31,-10,-10
63,1,42.64,-10,-10
64,1,40.33,-10,-10
65,1,41.47,-10,-10
66,1,41.63,-10,-10
67,1,42.55,-10,-10
68,1,44.55,-10,-10
69,1,37.02,-10,-10
70,1,42.28,-10,-10
71,1,42.59,-10,-10
72,1,40.66,-10,-10
73,1,37.04,-10,-10
74,1,37.39,-10,-10
75,1,32.5,-10,-10
76,1,41.36,-10,-10
77,1,34.86,-10,-10
78,1,38.29,-10,-10
79,1,45.23,-10,-10
80,1,41.69,-10,-10
81,1,39.7,-10,-10
82,1,43.83,-10,-10
83,1,41.43,-10,-10
84,1,38.54,-10,-10
85,1,36.2,-10,-10
86,1,42.66,-10,-10
87,1,38.92,-10,-10
88,1,35.02,-10,-10
89,1,36.3,-10,-10
90,1,39.34,-10,-10
91,1,43.42,-10,-10
92,1,40.2,-10,-10
93,1,43.71,-10,-10
94,1,39.26,-10,-10
95,1,39.06,-10,-10
96,1,32.05,-10,-10
97,1,40.17,-10,-10
98,1,41.09,-10,-10
99,1,41.4,-10,-10
100,1,32.99,-10,-10
101,1,41.1,-10,-10
102,1,43.52,-10,-10
103,1,46.77,-10,-10
104,1,43.43,-10,-10
105,1,34.13,-10,-10
106,1,36.57,-10,-10
107,1,38.95,-10,-10
108,1,36.8,-10,-10
109,1,41.4,-10,-10
110,1,36.87,-10,-10
111,1,37.55,-10,-10
112,1,30.65,-10,-10
113,1,34.95,-10,-10
114,1,32.59,-10,-10
115,1,39.65,-10,-10
116,1,46.48,-10,-10
117,1,40.82,-10,-10
118,1,43.14,-10,-10
119,1,41.16,-10,-10
120,1,40.49,-10,-10
121,1,46.13,-10,-10
122,1,31.13,-10,-10
123,1,42.15,-10,-10
124,1,44.89,-10,-10
125,1,38.88,-10,-10
126,1,32.4,-10,-10
127,1,41.65,-10,-10
128,1,38.52,-10,-10
129,1,29.58,-10,-10
130,1,39.38,-10,-10
131,1,42.57,-10,-10
132,1,45.13,-10,-10
133,1,50.38,-10,-10
134,1,32.23,-10,-10
135,1,31.24,-10,-10
136,1,46.37,-10,-10
137,1,42.91,-10,-10
138,1,38.04,-10,-10
139,1,34.47,-10,-10
140,1,42.2,-10,-10
141,1,37.68,-10,-10
142,1,37.9,-10,-10
143,1,42.62,-10,-10
144,1,35.68,-10,-10
145,1,45.49,-10,-10
146,1,40.66,-10,-10
147,1,40.97,-10,-10
148,1,44.86,-10,-10
149,1,35.37,-10,-10
150,1,43.93,-10,-10
151,1,45.97,-10,-10
152,1,35.35,-10,-10
153,1,38.94,-10,-10
154,1,29.49,-10,-10
155,1,35.56,-10,-10
156,1,41.04,-10,-10
157,1,34.49,-10,-10
158,1,45.04,-10,-10
159,1,41.18,-10,-10
160,1,29.64,-10,-10
161,1,33.2,-10,-10
162,1,40.0,-10,-10
163,1,34.05,-10,-10
164,1,35.17,-10,-10
165,1,40.91,-10,-10
166,1,38.08,-10,-10
167,1,44.55,-10,-10
168,1,49.89,-10,-10
169,1,34.01,-10,-10
170,1,44.47,-10,-10
171,1,45.01,-10,-10
172,1,44.05,-10,-10
173,1,33.83,-10,-10
174,1,44.27,-10,-10
175,1,39.75,-10,-10
176,1,43.52,-10,-10
177,1,41.19,-10,-10
178,1,41.07,-10,-10
179,1,35.43,-10,-10
180,1,43.44,-10,-10
181,1,32.86,-10,-10
182,1,31.39,-10,-10
183,1,34.25,-10,-10
184,1,32.23,-10,-10
185,1,42.81,-10,-10
186,1,39.66,-10,-10
